date,data,label
2017-06-28,1.226,"[0,1]"
2017-06-27,1.226,"[1,0]"
2017-06-26,1.241,"[0,1]"
2017-06-23,1.243,"[0,1]"
2017-06-22,1.233,"[1,0]"
2017-06-21,1.238,"[0,1]"
2017-06-20,1.216,"[1,0]"
2017-06-19,1.22,"[0,1]"
2017-06-16,1.192,"[1,0]"
2017-06-15,1.188,"[1,0]"
2017-06-14,1.205,"[0,1]"
2017-06-13,1.214,"[0,1]"
2017-06-12,1.214,"[1,0]"
2017-06-09,1.224,"[0,1]"
2017-06-08,1.251,"[0,1]"
2017-06-07,1.241,"[1,0]"
2017-06-06,1.224,"[1,0]"
2017-06-05,1.22,"[1,0]"
2017-06-02,1.22,"[1,0]"
2017-06-01,1.218,"[1,0]"
2017-05-31,1.215,"[1,0]"
2017-05-26,1.245,"[0,1]"
2017-05-25,1.243,"[1,0]"
2017-05-24,1.24,"[1,0]"
2017-05-23,1.245,"[0,1]"
2017-05-22,1.259,"[0,1]"
2017-05-19,1.251,"[1,0]"
2017-05-18,1.228,"[1,0]"
2017-05-17,1.228,"[1,0]"
2017-05-16,1.249,"[0,1]"
2017-05-15,1.221,"[1,0]"
2017-05-12,1.221,"[1,0]"
2017-05-11,1.215,"[1,0]"
2017-05-10,1.217,"[0,1]"
2017-05-09,1.205,"[1,0]"
2017-05-08,1.184,"[1,0]"
2017-05-05,1.168,"[1,0]"
2017-05-04,1.166,"[1,0]"
2017-05-03,1.168,"[0,1]"
2017-05-02,1.176,"[0,1]"
2017-04-28,1.165,"[1,0]"
2017-04-27,1.17,"[0,1]"
2017-04-26,1.158,"[1,0]"
2017-04-25,1.162,"[0,1]"
2017-04-24,1.141,"[1,0]"
2017-04-21,1.133,"[1,0]"
2017-04-20,1.124,"[1,0]"
2017-04-19,1.105,"[1,0]"
2017-04-18,1.1,"[1,0]"
2017-04-17,1.105,"[0,1]"
2017-04-14,1.1,"[1,0]"
2017-04-13,1.099,"[1,0]"
2017-04-12,1.106,"[0,1]"
2017-04-11,1.107,"[0,1]"
2017-04-10,1.118,"[0,1]"
2017-04-07,1.106,"[1,0]"
2017-04-06,1.107,"[0,1]"
2017-04-05,1.099,"[1,0]"
2017-03-31,1.107,"[0,1]"
2017-03-30,1.106,"[1,0]"
2017-03-29,1.113,"[0,1]"
2017-03-28,1.104,"[1,0]"
2017-03-27,1.103,"[1,0]"
2017-03-24,1.106,"[0,1]"
2017-03-23,1.101,"[1,0]"
2017-03-22,1.095,"[1,0]"
2017-03-21,1.092,"[1,0]"
2017-03-20,1.12,"[0,1]"
2017-03-17,1.11,"[1,0]"
2017-03-16,1.107,"[1,0]"
2017-03-15,1.095,"[1,0]"
2017-03-14,1.094,"[1,0]"
2017-03-13,1.093,"[1,0]"
2017-03-10,1.075,"[1,0]"
2017-03-09,1.065,"[1,0]"
2017-03-08,1.077,"[0,1]"
2017-03-07,1.061,"[1,0]"
2017-03-06,1.049,"[1,0]"
2017-03-03,1.053,"[0,1]"
2017-03-02,1.052,"[1,0]"
2017-03-01,1.062,"[0,1]"
2017-02-28,1.049,"[1,0]"
2017-02-27,1.051,"[0,1]"
2017-02-24,1.045,"[1,0]"
2017-02-23,1.052,"[0,1]"
2017-02-22,1.071,"[0,1]"
2017-02-21,1.063,"[1,0]"
2017-02-20,1.052,"[1,0]"
2017-02-17,1.046,"[1,0]"
2017-02-16,1.055,"[0,1]"
2017-02-15,1.048,"[1,0]"
2017-02-14,1.042,"[1,0]"
2017-02-13,1.047,"[0,1]"
2017-02-10,1.043,"[1,0]"
2017-02-09,1.036,"[1,0]"
2017-02-08,1.031,"[1,0]"
2017-02-07,1.015,"[1,0]"
2017-02-06,1.01,"[1,0]"
2017-02-03,1.002,"[1,0]"
2017-01-26,1.004,"[0,1]"
2017-01-25,1.009,"[0,1]"
2017-01-24,0.999,"[1,0]"
2017-01-23,0.991,"[1,0]"
2017-01-20,0.983,"[1,0]"
2017-01-19,0.987,"[0,1]"
2017-01-18,0.983,"[1,0]"
2017-01-17,0.991,"[0,1]"
2017-01-16,0.989,"[1,0]"
2017-01-13,0.993,"[0,1]"
2017-01-12,0.991,"[1,0]"
2017-01-11,0.999,"[0,1]"
2017-01-10,1,"[0,1]"
2017-01-09,0.985,"[1,0]"
2017-01-06,0.971,"[1,0]"
2017-01-05,0.982,"[0,1]"
2017-01-04,0.955,"[1,0]"
2017-01-03,0.944,"[1,0]"
2016-12-31,0.934,"[1,0]"
2016-12-30,0.934,"[1,0]"
2016-12-29,0.937,"[0,1]"
2016-12-28,0.937,"[1,0]"
2016-12-27,0.939,"[0,1]"
2016-12-26,0.931,"[1,0]"
2016-12-23,0.931,"[1,0]"
2016-12-22,0.928,"[1,0]"
2016-12-21,0.94,"[0,1]"
2016-12-20,0.934,"[1,0]"
2016-12-19,0.931,"[1,0]"
2016-12-16,0.94,"[0,1]"
2016-12-15,0.939,"[1,0]"
2016-12-14,0.957,"[0,1]"
2016-12-13,0.965,"[0,1]"
2016-12-12,0.962,"[1,0]"
2016-12-09,0.979,"[0,1]"
2016-12-08,0.976,"[1,0]"
2016-12-07,0.972,"[1,0]"
2016-12-06,0.96,"[1,0]"
2016-12-05,0.972,"[0,1]"
2016-12-02,0.964,"[1,0]"
2016-12-01,0.974,"[0,1]"
2016-11-30,0.996,"[0,1]"
2016-11-29,1.005,"[0,1]"
2016-11-28,1.004,"[1,0]"
2016-11-25,1.004,"[1,0]"
2016-11-24,1,"[1,0]"
2016-11-23,0.999,"[1,0]"
2016-11-22,0.991,"[1,0]"
